time;lat;lng;alt;voltage;current;level;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;heading;groundspeed;airspeed;mode;system-status;armed;is-armable;ekf-ok
0.0;-22.0059301;-47.8987772;-1.81;0.0;0.0;100.0;-0.014480662532150745;2.2424182891845703;0.01821332983672619;0.0;0.0;0.0;3;10;128.0;0.0;0.0;STABILIZE;STANDBY;false;false;false
0.5;-22.0059302;-47.8987777;-1.79;0.0;0.0;100.0;-0.014514980837702751;2.2427330017089844;0.01835773140192032;-0.01;-0.01;0.01;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
1.0;-22.0059303;-47.8987781;-1.76;0.0;0.0;100.0;-0.01439602393656969;2.242501735687256;0.018491031602025032;0.0;0.0;0.0;3;10;128.0;0.0;0.0;STABILIZE;STANDBY;false;false;false
1.5;-22.0059305;-47.8987785;-1.75;0.0;0.0;100.0;-0.014396208338439465;2.2421088218688965;0.018611760810017586;0.0;0.0;0.0;3;10;128.0;0.0;0.0;STABILIZE;STANDBY;false;false;false
2.0;-22.0059307;-47.8987788;-1.74;0.0;0.0;100.0;-0.014338954351842403;2.241983413696289;0.018505867570638657;0.01;0.0;-0.01;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
2.5;-22.0059308;-47.898779;-1.73;0.0;0.0;100.0;-0.014591586776077747;2.2425148487091064;0.01816975325345993;-0.01;-0.01;0.01;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
3.0;-22.005931;-47.8987791;-1.69;0.0;0.0;100.0;-0.014563094824552536;2.2423129081726074;0.018260400742292404;0.0;0.0;0.0;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
3.5;-22.0059311;-47.8987792;-1.72;0.0;0.0;100.0;-0.0145061444491148;2.242971181869507;0.01834506168961525;0.0;0.01;0.0;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
4.0;-22.0059312;-47.8987794;-1.72;0.0;0.0;100.0;-0.01449483260512352;2.2426607608795166;0.018164990469813347;0.0;-0.02;0.0;3;10;128.0;0.009999999776482582;0.009999999776482582;STABILIZE;STANDBY;false;false;false
4.5;-22.0059313;-47.8987794;-1.72;0.0;0.0;100.0;-0.014485751278698444;2.2423176765441895;0.018321404233574867;-0.01;-0.02;0.01;3;10;128.0;0.0;0.0;STABILIZE;STANDBY;false;false;false
