time;lat;lng;alt;voltage;current;level;pitch;yaw;roll;vx;vy;vz;fixtype;satellitesvisible;heading;groundspeed;airspeed;mode;system-status;armed;is-armable;ekf-ok
0.0;-22.0058747;-47.8987459;0.0;12.538;3.48;99.0;0.009727719239890575;1.235741376876831;0.006009566131979227;-0.1;-0.16;0.0;3;10;70.0;0.0;0.0;GUIDED;STANDBY;true;true;true
0.5;-22.0058756;-47.8987469;0.0;12.39;12.87;99.0;-0.030568037182092667;1.2982096672058105;-0.0174256581813097;-0.12;-0.14;0.0;3;10;74.0;0.019999999552965164;0.019999999552965164;GUIDED;STANDBY;true;true;true
1.0;-22.0058755;-47.8987467;0.01;12.193;27.91;99.0;-0.03116847574710846;1.4878231287002563;-0.026310648769140244;-0.04;-0.03;0.01;3;10;85.0;0.12999999523162842;0.12999999523162842;AUTO;ACTIVE;true;true;true
1.5;-22.005875;-47.8987458;0.14;12.143;30.57;99.0;-0.009820991195738316;1.4716613292694092;-0.010692119598388672;0.01;0.05;0.6;3;10;84.0;0.2800000011920929;0.2800000011920929;AUTO;ACTIVE;true;true;true
2.0;-22.0058742;-47.8987447;0.59;12.193;29.91;99.0;0.001765900757163763;1.4360864162445068;0.008380907587707043;-0.03;0.03;1.21;3;10;82.0;0.3799999952316284;0.3799999952316284;AUTO;ACTIVE;true;true;true
2.5;-22.0058736;-47.8987437;1.28;12.143;29.91;99.0;-0.0022191531024873257;1.4381861686706543;0.011836162768304348;-0.11;0.03;1.62;3;10;82.0;0.32999998331069946;0.32999998331069946;AUTO;ACTIVE;true;true;true
3.0;-22.005873;-47.8987425;2.12;12.193;29.66;99.0;-0.004569943994283676;1.4472163915634155;0.008733276277780533;-0.14;0.04;1.86;3;10;82.0;0.25999999046325684;0.25999999046325684;AUTO;ACTIVE;true;true;true
3.5;-22.0058725;-47.8987413;3.05;12.193;27.08;99.0;-0.005047436337918043;1.5161328315734863;0.012675696983933449;-0.17;0.06;1.84;3;10;86.0;0.22999998927116394;0.22999998927116394;AUTO;ACTIVE;true;true;true
4.0;-22.005872;-47.8987401;3.83;12.242;24.59;99.0;-0.027184665203094482;1.5759057998657227;0.01725439727306366;-0.2;0.09;1.35;3;10;90.0;0.19999998807907104;0.19999998807907104;AUTO;ACTIVE;true;true;true
4.5;-22.0058718;-47.8987384;4.34;12.242;23.84;98.0;-0.09651897847652435;1.551692008972168;0.020881066098809242;-0.22;0.34;0.76;3;10;88.0;0.25;0.25;AUTO;ACTIVE;true;true;true
5.0;-22.0058717;-47.8987354;4.62;12.242;24.51;98.0;-0.12408662587404251;1.5449364185333252;0.019964559003710747;-0.23;0.69;0.4;3;10;88.0;0.4899999797344208;0.4899999797344208;AUTO;ACTIVE;true;true;true
5.5;-22.0058717;-47.8987309;4.77;12.242;25.34;98.0;-0.13131891191005707;1.5497212409973145;0.015455125831067562;-0.22;1.03;0.22;3;10;88.0;0.9099999666213989;0.9099999666213989;AUTO;ACTIVE;true;true;true
6.0;-22.0058717;-47.898725;4.85;12.242;25.25;98.0;-0.14507199823856354;1.5494606494903564;0.011988396756350994;-0.19;1.31;0.14;3;10;88.0;1.149999976158142;1.149999976158142;AUTO;ACTIVE;true;true;true
6.5;-22.0058717;-47.8987179;4.91;12.242;25.59;98.0;-0.18335776031017303;1.5541107654571533;0.008739172481000423;-0.15;1.65;0.08;3;10;89.0;1.3700000047683716;1.3700000047683716;AUTO;ACTIVE;true;true;true
7.0;-22.0058718;-47.8987092;4.94;12.242;25.75;98.0;-0.21761126816272736;1.5535147190093994;0.00751615222543478;-0.11;2.03;0.05;3;10;89.0;1.7799999713897705;1.7799999713897705;AUTO;ACTIVE;true;true;true
7.5;-22.0058718;-47.8986929;4.96;12.242;26.17;98.0;-0.23928521573543549;1.554633378982544;0.013507405295968056;-0.08;2.62;0.03;3;10;89.0;2.2699999809265137;2.2699999809265137;AUTO;ACTIVE;true;true;true
8.0;-22.005872;-47.8986802;4.97;12.242;26.08;98.0;-0.23928868770599365;1.5545589923858643;0.01211825292557478;-0.08;2.9;0.02;3;10;89.0;2.700000047683716;2.700000047683716;AUTO;ACTIVE;true;true;true
8.5;-22.0058723;-47.8986663;4.98;12.242;26.08;98.0;-0.24609099328517914;1.5561786890029907;0.007364438381046057;-0.06;3.12;0.01;3;10;89.0;2.9099998474121094;2.9099998474121094;AUTO;ACTIVE;true;true;true
9.0;-22.0058725;-47.8986515;4.98;12.242;26.17;98.0;-0.2596828043460846;1.5526020526885986;0.007067503407597542;-0.03;3.33;0.01;3;10;88.0;3.179999828338623;3.179999828338623;AUTO;ACTIVE;true;true;true
9.5;-22.0058726;-47.8986357;4.98;12.193;26.42;97.0;-0.270172119140625;1.5525795221328735;0.007828127592802048;0.0;3.53;0.01;3;10;88.0;3.3499999046325684;3.3499999046325684;AUTO;ACTIVE;true;true;true
10.0;-22.005873;-47.8986193;4.97;12.242;25.0;97.0;-0.18494556844234467;1.7317194938659668;0.04075133427977562;-0.15;3.54;0.02;3;10;99.0;3.5199999809265137;3.5199999809265137;AUTO;ACTIVE;true;true;true
10.5;-22.0058744;-47.8986038;4.98;12.242;25.25;97.0;-0.14900007843971252;2.0501956939697266;0.031909722834825516;-0.45;3.15;0.02;3;10;117.0;3.359999895095825;3.359999895095825;AUTO;ACTIVE;true;true;true
11.0;-22.005879;-47.8985842;4.98;12.242;25.25;97.0;-0.15588881075382233;2.5520050525665283;-0.025937043130397797;-0.86;2.59;0.01;3;10;146.0;2.919999837875366;2.919999837875366;AUTO;ACTIVE;true;true;true
11.5;-22.0058835;-47.898573;4.97;12.242;25.34;97.0;-0.17609427869319916;2.8919436931610107;-0.04280543699860573;-1.17;2.29;0.01;3;10;165.0;2.6599998474121094;2.6599998474121094;AUTO;ACTIVE;true;true;true
12.0;-22.0058897;-47.8985632;4.97;12.193;28.91;97.0;-0.20360922813415527;3.1371982097625732;-0.06389956921339035;-1.61;1.96;0.01;3;10;179.0;2.569999933242798;2.569999933242798;AUTO;ACTIVE;true;true;true
12.5;-22.0058979;-47.8985548;4.97;12.242;26.25;97.0;-0.22793036699295044;3.1001813411712646;-0.04356396570801735;-2.06;1.69;0.02;3;10;177.0;2.619999885559082;2.619999885559082;AUTO;ACTIVE;true;true;true
13.0;-22.0059079;-47.8985476;4.96;12.242;25.84;97.0;-0.23954179883003235;3.0590267181396484;-0.013777690939605236;-2.47;1.4;0.02;3;10;175.0;2.75;2.75;AUTO;ACTIVE;true;true;true
13.5;-22.0059194;-47.8985418;4.96;12.193;26.42;97.0;-0.2354782372713089;3.077160596847534;-0.018035704270005226;-2.77;1.14;0.02;3;10;176.0;2.8999998569488525;2.8999998569488525;AUTO;ACTIVE;true;true;true
14.0;-22.005932;-47.8985368;4.97;12.193;26.42;96.0;-0.24098490178585052;3.0826845169067383;-0.024490520358085632;-3.01;0.98;0.02;3;10;176.0;3.0899999141693115;3.0899999141693115;AUTO;ACTIVE;true;true;true
14.5;-22.0059526;-47.8985304;4.97;12.242;26.25;96.0;-0.26076793670654297;3.0714054107666016;-0.008084169588983059;-3.31;0.78;0.02;3;10;175.0;3.2899999618530273;3.2899999618530273;AUTO;ACTIVE;true;true;true
15.0;-22.0059674;-47.8985269;4.97;12.242;24.76;96.0;-0.2418525367975235;3.117340087890625;0.020892174914479256;-3.51;0.62;0.01;3;10;178.0;3.5;3.5;AUTO;ACTIVE;true;true;true
15.5;-22.0059824;-47.8985246;4.97;12.242;25.34;96.0;-0.14670071005821228;-2.8901102542877197;0.02936893329024315;-3.31;0.24;0.03;3;10;194.0;3.549999952316284;3.549999952316284;AUTO;ACTIVE;true;true;true
16.0;-22.0059958;-47.898524;4.98;12.242;25.42;96.0;-0.12759585678577423;-2.556299924850464;8.898559026420116E-4;-2.89;-0.11;0.02;3;10;213.0;3.069999933242798;3.069999933242798;AUTO;ACTIVE;true;true;true
16.5;-22.0060074;-47.898525;4.98;12.242;25.34;96.0;-0.13337644934654236;-2.217775583267212;-0.02474815770983696;-2.55;-0.43;0.01;3;10;232.0;2.7200000286102295;2.7200000286102295;AUTO;ACTIVE;true;true;true
17.0;-22.0060177;-47.8985274;4.98;12.242;25.34;96.0;-0.14006027579307556;-1.8797811269760132;-0.0358009934425354;-2.24;-0.79;0.01;3;10;252.0;2.4700000286102295;2.4700000286102295;AUTO;ACTIVE;true;true;true
17.5;-22.0060303;-47.8985341;4.98;12.193;28.58;96.0;-0.14230631291866302;-1.5642421245574951;-0.04943414404988289;-1.73;-1.33;0.0;3;10;270.0;2.180000066757202;2.180000066757202;AUTO;ACTIVE;true;true;true
18.0;-22.0060369;-47.8985406;4.98;12.242;25.42;95.0;-0.1865578293800354;-1.5664666891098022;-0.028506861999630928;-1.42;-1.7;0.01;3;10;270.0;2.009999990463257;2.009999990463257;AUTO;ACTIVE;true;true;true
18.5;-22.0060421;-47.8985489;4.98;12.242;25.67;95.0;-0.21680518984794617;-1.5949310064315796;-0.004559443797916174;-1.1;-2.13;0.01;3;10;268.0;2.0799999237060547;2.0799999237060547;AUTO;ACTIVE;true;true;true
19.0;-22.006046;-47.898559;4.99;12.242;26.33;95.0;-0.23606623709201813;-1.5786961317062378;-0.015757054090499878;-0.85;-2.53;0.0;3;10;269.0;2.25;2.25;AUTO;ACTIVE;true;true;true
19.5;-22.0060491;-47.8985708;4.99;12.193;26.42;95.0;-0.24177980422973633;-1.5715166330337524;-0.024273928254842758;-0.71;-2.87;0.0;3;10;269.0;2.609999895095825;2.609999895095825;AUTO;ACTIVE;true;true;true
20.0;-22.0060518;-47.898584;4.99;12.242;26.25;95.0;-0.2503589391708374;-1.5729751586914062;-0.018552612513303757;-0.59;-3.15;0.0;3;10;269.0;2.8299999237060547;2.8299999237060547;AUTO;ACTIVE;true;true;true
20.5;-22.0060539;-47.8985983;4.99;12.193;26.42;95.0;-0.2607448995113373;-1.577426791191101;-0.005952922627329826;-0.47;-3.39;0.0;3;10;269.0;3.0399999618530273;3.0399999618530273;AUTO;ACTIVE;true;true;true
21.0;-22.0060556;-47.8986138;4.99;12.193;26.5;95.0;-0.2726021111011505;-1.5787086486816406;0.0021632590796798468;-0.33;-3.62;0.0;3;10;269.0;3.309999942779541;3.309999942779541;AUTO;ACTIVE;true;true;true
21.5;-22.0060566;-47.8986302;5.0;12.193;26.92;95.0;-0.22049373388290405;-1.5782240629196167;0.007413505110889673;-0.19;-3.76;0.0;3;10;269.0;3.490000009536743;3.490000009536743;AUTO;ACTIVE;true;true;true
22.0;-22.0060572;-47.8986462;5.0;12.242;25.75;95.0;-0.14884185791015625;-1.558483362197876;0.012713860720396042;-0.06;-3.48;0.0;3;10;270.0;3.4600000381469727;3.4600000381469727;AUTO;ACTIVE;true;true;true
22.5;-22.0060573;-47.8986608;5.01;12.242;25.59;95.0;-0.13852757215499878;-1.5769321918487549;0.014984172768890858;0.04;-3.15;0.0;3;10;269.0;3.179999828338623;3.179999828338623;AUTO;ACTIVE;true;true;true
23.0;-22.006057;-47.898674;5.01;12.242;25.67;94.0;-0.13641923666000366;-1.5824743509292603;0.017190568149089813;0.13;-2.89;-0.01;3;10;269.0;2.9099998474121094;2.9099998474121094;AUTO;ACTIVE;true;true;true
23.5;-22.0060565;-47.8986861;5.01;12.242;25.92;94.0;-0.11788354814052582;-1.5780680179595947;0.01989969052374363;0.2;-2.66;-0.01;3;10;269.0;2.609999895095825;2.609999895095825;AUTO;ACTIVE;true;true;true
24.0;-22.0060553;-47.8987023;5.01;12.242;25.67;94.0;-0.06922143697738647;-1.5720642805099487;0.016237352043390274;0.3;-2.25;-0.01;3;10;269.0;2.299999952316284;2.299999952316284;AUTO;ACTIVE;true;true;true
24.5;-22.0060544;-47.8987112;5.0;12.242;25.59;94.0;-0.025427615270018578;-1.576407790184021;0.013984788209199905;0.33;-1.87;-0.05;3;10;269.0;1.8899999856948853;1.8899999856948853;AUTO;ACTIVE;true;true;true
25.0;-22.0060535;-47.8987181;4.99;12.242;25.59;94.0;0.02789115533232689;-1.58065664768219;0.0033306186087429523;0.33;-1.41;-0.04;3;10;269.0;1.5399999618530273;1.5399999618530273;AUTO;ACTIVE;true;true;true
25.5;-22.0060528;-47.8987227;4.98;12.242;25.5;94.0;0.03586868196725845;-1.5769315958023071;-0.0068854098208248615;0.28;-0.92;-0.02;3;10;269.0;0.8999999761581421;0.8999999761581421;AUTO;ACTIVE;true;true;true
26.0;-22.0060523;-47.8987254;4.98;12.193;26.67;94.0;0.048033807426691055;-1.5748265981674194;-0.0044073909521102905;0.24;-0.59;0.0;3;10;269.0;0.5399999618530273;0.5399999618530273;AUTO;ACTIVE;true;true;true
26.5;-22.0060522;-47.8987261;4.97;12.242;23.76;94.0;0.12471364438533783;-1.5787533521652222;-0.0031410004012286663;0.22;-0.06;-0.12;3;10;269.0;0.26999998092651367;0.26999998092651367;AUTO;ACTIVE;true;true;true
27.0;-22.0060522;-47.8987245;4.86;12.242;22.84;94.0;0.053627025336027145;-1.5805537700653076;0.0021996621508151293;0.2;0.24;-0.42;3;10;269.0;0.3799999952316284;0.3799999952316284;AUTO;ACTIVE;true;true;true
27.5;-22.0060525;-47.8987213;4.48;12.242;24.59;93.0;-0.02208266593515873;-1.5786112546920776;0.015450283885002136;0.23;0.11;-0.58;3;10;269.0;0.47999998927116394;0.47999998927116394;AUTO;ACTIVE;true;true;true
28.0;-22.0060526;-47.89872;4.22;12.242;24.84;93.0;-0.025123456493020058;-1.5774303674697876;0.015013356693089008;0.27;-0.04;-0.53;3;10;269.0;0.25999999046325684;0.25999999046325684;AUTO;ACTIVE;true;true;true
28.5;-22.0060526;-47.8987192;3.98;12.242;24.84;93.0;-0.018161186948418617;-1.5747424364089966;0.011405684985220432;0.26;-0.12;-0.5;3;10;269.0;0.12999999523162842;0.12999999523162842;AUTO;ACTIVE;true;true;true
29.0;-22.0060527;-47.8987187;3.75;12.242;24.59;93.0;-0.015917830169200897;-1.574100375175476;0.014794429764151573;0.25;-0.17;-0.5;3;10;269.0;0.05999999865889549;0.05999999865889549;AUTO;ACTIVE;true;true;true
29.5;-22.0060527;-47.8987184;3.51;12.242;24.51;93.0;-0.017754757776856422;-1.575294852256775;0.01681368239223957;0.26;-0.18;-0.51;3;10;269.0;0.08999999612569809;0.08999999612569809;AUTO;ACTIVE;true;true;true
30.0;-22.0060526;-47.8987183;3.27;12.242;24.51;93.0;-0.021013636142015457;-1.5763262510299683;0.015659315511584282;0.26;-0.2;-0.51;3;10;269.0;0.12999999523162842;0.12999999523162842;AUTO;ACTIVE;true;true;true
30.5;-22.0060524;-47.8987185;3.03;12.242;24.59;93.0;-0.02359103597700596;-1.5804072618484497;0.015369548462331295;0.25;-0.23;-0.51;3;10;269.0;0.19999998807907104;0.19999998807907104;AUTO;ACTIVE;true;true;true
31.0;-22.0060521;-47.8987189;2.79;12.242;24.76;93.0;-0.02115568518638611;-1.577010154724121;0.016046399250626564;0.24;-0.24;-0.51;3;10;269.0;0.23999999463558197;0.23999999463558197;AUTO;ACTIVE;true;true;true
31.5;-22.0060516;-47.8987198;2.43;12.242;24.51;93.0;-0.015314222313463688;-1.579164981842041;0.011973461136221886;0.22;-0.21;-0.5;3;10;269.0;0.28999999165534973;0.28999999165534973;AUTO;ACTIVE;true;true;true
32.0;-22.0060514;-47.8987201;2.31;12.242;24.51;93.0;-0.014484422281384468;-1.5816171169281006;0.010130266658961773;0.21;-0.2;-0.51;3;10;269.0;0.28999999165534973;0.28999999165534973;AUTO;ACTIVE;true;true;true
32.5;-22.0060511;-47.8987207;2.07;12.242;24.51;92.0;-0.013615686446428299;-1.581444263458252;0.008012178353965282;0.18;-0.18;-0.5;3;10;269.0;0.28999999165534973;0.28999999165534973;AUTO;ACTIVE;true;true;true
33.0;-22.0060507;-47.8987213;1.83;12.242;24.67;92.0;-0.010539140552282333;-1.5756698846817017;0.005644440650939941;0.16;-0.16;-0.5;3;10;269.0;0.26999998092651367;0.26999998092651367;AUTO;ACTIVE;true;true;true
33.5;-22.0060502;-47.8987223;1.46;12.242;24.59;92.0;-0.004944787826389074;-1.5762742757797241;0.0014515155926346779;0.1;-0.11;-0.5;3;10;269.0;0.23999999463558197;0.23999999463558197;AUTO;ACTIVE;true;true;true
34.0;-22.00605;-47.8987229;1.22;12.242;24.51;92.0;-0.003517372999340296;-1.578163504600525;0.004471099004149437;0.08;-0.07;-0.5;3;10;269.0;0.19999998807907104;0.19999998807907104;AUTO;ACTIVE;true;true;true
34.5;-22.0060498;-47.8987233;0.98;12.242;24.59;92.0;-0.0016835283022373915;-1.5811587572097778;0.003977067302912474;0.07;-0.04;-0.49;3;10;269.0;0.17000000178813934;0.17000000178813934;AUTO;ACTIVE;true;true;true
35.0;-22.0060496;-47.8987237;0.73;12.242;24.67;92.0;-4.913858720101416E-4;-1.5800812244415283;0.001637325738556683;0.07;-0.01;-0.49;3;10;269.0;0.14000000059604645;0.14000000059604645;AUTO;ACTIVE;true;true;true
35.5;-22.0060494;-47.8987241;0.49;12.242;24.59;92.0;-0.0012279930524528027;-1.5823848247528076;-2.888374438043684E-4;0.05;0.0;-0.49;3;10;269.0;0.11999999731779099;0.11999999731779099;AUTO;ACTIVE;true;true;true
36.0;-22.0060493;-47.8987244;0.25;12.242;24.59;92.0;0.0015757104847580194;-1.5809776782989502;-3.3624234492890537E-4;0.03;0.01;-0.49;3;10;269.0;0.09999999403953552;0.09999999403953552;AUTO;ACTIVE;true;true;true
36.5;-22.0060492;-47.8987246;0.01;12.242;24.67;92.0;0.004273603670299053;-1.57534658908844;-0.002887475537136197;0.04;0.02;-0.49;3;10;269.0;0.0;0.0;AUTO;ACTIVE;true;true;true
37.0;-22.0060492;-47.8987248;-0.2;12.242;24.26;91.0;0.008848155848681927;-1.5758683681488037;-0.0031341772992163897;0.02;0.03;-0.49;3;10;269.0;0.0;0.0;AUTO;ACTIVE;true;true;true
37.5;-22.0060492;-47.8987248;-0.42;12.242;23.34;91.0;0.007855282165110111;-1.5791630744934082;-0.004233247134834528;0.01;0.06;-0.48;3;10;269.0;0.029999999329447746;0.029999999329447746;AUTO;ACTIVE;true;true;true
38.0;-22.0060493;-47.8987247;-0.62;12.341;19.19;91.0;0.005010885186493397;-1.5765063762664795;-0.0028805644251406193;0.0;0.06;-0.46;3;10;269.0;0.03999999910593033;0.03999999910593033;AUTO;ACTIVE;true;true;true
